d1;d2;d3;x_we;y_we;X_wy;Y_wy
4,336474375;7,725821644;6,693220692;-3,2;-3;-3,185031551;-2,917930836
4,149860314;7,741164634;6,574950266;-3,2;-2,8;-3,205936938;-2,672134255
4,075239661;7,684605816;6,403377742;-3,2;-2,6;-3,245004492;-2,486216666
3,921238967;7,553250151;6,212391;-3,2;-2,4;-3,172343992;-2,319114981
3,767211101;7,480596852;6,085135779;-3,2;-2,2;-3,115693174;-2,156002984
3,772296724;7,447445572;5,878617586;-3,2;-2;-3,203744149;-1,964694827
3,608399036;7,312283012;5,658525304;-3,2;-1,8;-3,120388872;-1,771925942
3,541866014;7,401662766;5,565554755;-3,2;-1,6;-3,232431724;-1,477088879
3,423041601;7,27432385;5,423451731;-3,2;-1,4;-3,127943944;-1,405504219
3,380960154;7,249696265;5,32735171;-3,2;-1,2;-3,127216143;-1,295648572
3,170847713;7,240774072;4,957847831;-3,2;-1;-1,671209765;-0,570076559
3,139510496;7,180238515;4,925505236;-3,2;-0,8;-1,642119186;-0,566502532
3,181780481;7,190686016;4,813219812;-3,2;-0,6;-1,681937698;-0,43404475
3,193478596;7,175652059;4,565829388;-3,2;-0,4;-3,171014986;-0,337300293
3,221571876;7,136479004;4,418196572;-3,2;-0,2;-3,141975304;-0,372146635
3,155069404;7,122261437;4,331687278;-3,2;0;-3,124562674;0,211445562
3,170649309;7,117766045;4,24860596;-3,2;0,2;-3,119771283;0,349340613
3,156998872;7,236629145;4,138267548;-3,2;0,4;-1,717415068;0,238114175
3,17582455;7,150866202;3,844606519;-3,2;0,6;-3,112345149;0,663715259
3,208037154;7,197050226;3,759794313;-3,2;0,8;-3,138703421;0,714168811
3,267830851;7,214678352;3,80761989;-3,2;1;-3,161474252;0,842685287
3,380549776;7,213368075;3,68866177;-3,2;1,2;-3,131558331;1,199090964
3,453656422;7,325638603;3,531087368;-3,2;1,4;-3,182762189;1,375836744
3,538277435;7,256978335;3,409682144;-3,2;1,6;-3,07900447;1,683620024
3,607828738;7,397538282;3,331509981;-3,2;1,8;-3,15870202;1,789171596
3,73994286;7,443148185;3,262447134;-3,2;2;-3,146065829;2,046519282
3,75698915;7,557537004;3,318407853;-3,2;2,2;-3,25652021;1,961667878
3,929435275;7,583166855;3,213254619;-3,2;2,4;-3,191572833;2,340040436
4,111567078;7,543095616;3,169552236;-3,2;2,6;-3,09141453;2,643363868
4,290184084;7,74270266;3,230035895;-3,2;2,8;-3,213857649;2,82758305
4,353157842;7,816137826;3,178630386;-3,2;3;-3,207829232;2,98185368
4,44714614;7,944810037;3,12906393;-3,2;3,2;-3,202070352;3,215420875
4,269226157;7,650110336;6,761156404;-3;-3,2;-3,002487899;-3,044349518
4,228453896;7,545712807;6,606843686;-3;-3;-3,006483449;-2,931182913
