d1+Su;d2+Su;d3+Su;d1;d2;d3;x_we;y_we;x_wy;y_wy
4,31757057;7,806656674;6,675713077;4,38634244;7,8;6,8;-3,2;-3;-3,279621444;-2,810755752
4,224991251;7,624024748;6,616414345;4,252058325;7,725283166;6,624198065;-3,2;-2,8;-3,08185177;-2,87470785
4,056959176;7,693521048;6,390012168;4,123105626;7,655063684;6,449806199;-3,2;-2,6;-3,256253584;-2,448632016
3,983416495;7,483201862;6,206910555;4;7,589466384;6,276941931;-3,2;-2,4;-3,126572705;-2,419556305
3,850781561;7,350682005;6,056772761;3,883297568;7,52861209;6,105735009;-3,2;-2,2;-3,030966647;-2,313760225
3,687276106;7,400272157;5,896358905;3,773592453;7,472616677;5,936328832;-3,2;-2;-3,116656102;-1,9839859
3,714114691;7,311559059;5,70246449;3,67151195;7,421590126;5,768882041;-3,2;-1,8;-3,129335619;-1,88685599
3,499465059;7,302959977;5,57004198;3,577708764;7,375635566;5,60357029;-3,2;-1,6;-3,118455126;-1,598483604
3,481310464;7,288972859;5,340563514;3,492849839;7,334848328;5,440588203;-3,2;-1,4;-3,184813411;-1,353787353
3,3306514;7,289310558;5,224570914;3,417601498;7,299315036;5,280151513;-3,2;-1,2;-3,187750815;-1,011568061
3,320032429;7,267207124;5,107426163;3,352610923;7,269112738;5,12249939;-3,2;-1;-3,195680107;-0,928155042
3,172328398;7,236760822;4,891828905;3,2984845;7,244308111;4,967896939;-3,2;-0,8;-1,683640669;-0,502933883
3,235259125;7,144055;4,782905437;3,255764119;7,224956747;4,816637832;-3,2;-0,6;-3,124224146;-0,737758058
3,110437785;7,23828215;4,545586348;3,224903099;7,211102551;4,669047012;-3,2;-0,4;-1,708739499;-0,174745766
3,082573457;7,100004475;4,473030929;3,206243908;7,202777242;4,5254834;-3,2;-0,2;-1,652586529;-0,15982723
3,193326294;7,149933378;4,349513425;3,2;7,2;4,38634244;-3,2;0;-3,152815907;0,249245313
3,107158215;7,135135036;4,22711962;3,206243908;7,202777242;4,252058325;-3,2;0,2;-1,674739126;0,097985337
3,287549086;7,132226413;3,993716286;3,224903099;7,211102551;4,123105626;-3,2;0,4;-3,11543074;0,823620743
3,148654119;7,199842413;4,002622045;3,255764119;7,224956747;4;-3,2;0,6;-1,690674902;0,349546988
3,314180794;7,249846095;3,84863787;3,2984845;7,244308111;3,883297568;-3,2;0,8;-3,198622506;0,865012599
3,363907841;7,255210551;3,743422532;3,352610923;7,269112738;3,773592453;-3,2;1;-3,180985378;1,072473714
3,415995704;7,201931628;3,582039183;3,417601498;7,299315036;3,67151195;-3,2;1,2;-3,093823904;1,366445587
3,444125919;7,263026385;3,492081907;3,492849839;7,334848328;3,577708764;-3,2;1,4;-3,119377955;1,451388904
3,584995774;7,305246816;3,479425189;3,577708764;7,375635566;3,492849839;-3,2;1,6;-3,135566532;1,666577704
3,534021802;7,413862691;3,339029109;3,67151195;7,421590126;3,417601498;-3,2;1,8;-3,185055793;1,628397407
3,610555589;7,39170884;3,289271321;3,773592453;7,472616677;3,352610923;-3,2;2;-3,137720936;1,837390553
3,884917653;7,499208497;3,222004222;3,883297568;7,52861209;3,2984845;-3,2;2,2;-3,142323742;2,285039005
3,959317816;7,526729841;3,20228897;4;7,589466384;3,255764119;-3,2;2,4;-3,136485689;2,405503349
4,114671969;7,639667105;3,097099733;4,123105626;7,655063684;3,224903099;-3,2;2,6;-3,118938888;2,724467483
4,265947228;7,725204159;3,150933861;4,252058325;7,725283166;3,206243908;-3,2;2,8;-3,161228039;2,880411907
4,291531636;7,739470122;3,160491673;4,38634244;7,8;3,2;-3,2;3;-3,16807348;2,906443946
4,401114693;7,808524524;3,156525586;4,5254834;7,879086241;3,206243908;-3,2;3,2;-3,170020903;3,072859263
4,367101876;7,694877808;6,898512624;4,38634244;7,696752562;6,887670143;-3;-3,2;-2,973804144;-3,208903973
4,280026687;7,52213844;6,60581412;4,242640687;7,615773106;6,708203932;-3;-3;-3,006808751;-2,963523379
4,120547466;7,415312155;6,438895266;4,103656906;7,53923073;6,529931087;-3;-2,8;-2,949171772;-2,801615671
3,973301939;7,337845223;6,34047113;3,969886648;7,467261881;6,35295207;-3;-2,6;-2,874084112;-2,700631923
3,845363225;7,294542803;6,169264039;3,841874542;7,4;6,177378085;-3;-2,4;-2,89677225;-2,491486364
3,581845877;7,254693736;5,952008572;3,720215048;7,337574531;6,003332408;-3;-2,2;-2,888583025;-2,149676664
3,540515971;7,247514848;5,788860381;3,605551275;7,280109889;5,830951895;-3;-2;-2,966381239;-1,947753506
3,491918003;7,118856757;5,58568317;3,498571137;7,2277244;5,660388679;-3;-1,8;-2,923920383;-1,839306915
3,420781963;7,15350059;5,454580481;3,4;7,180529228;5,491812087;-3;-1,6;-2,99446243;-1,612182986
3,260003402;7,161045256;5,380257827;3,310589071;7,138627319;5,325410782;-3;-1,4;-2,986220367;-1,358591326
3,119225701;7,064271632;5,174353124;3,231098884;7,102112362;5,16139516;-3;-1,2;-2,930387974;-1,121072255
3,133750379;6,887117684;4,911383429;3,16227766;7,071067812;5;-3;-1;-2,839352394;-1,16662032
3,031919014;6,982867103;4,85494738;3,104834939;7,045565982;4,841487375;-3;-0,8;-2,923508601;-0,828528432
3,111227494;6,999600043;4,682533753;3,059411708;7,025667228;4,686149806;-3;-0,6;-2,983464129;-0,749519419
3,038440433;6,93580406;4,449889857;3,02654919;7,011419257;4,53431362;-3;-0,4;-2,937730532;-0,54723068
2,963656894;6,979858888;4,276762798;3,006659276;7,00285656;4,38634244;-3;-0,2;-1,583260013;-0,051020574
2,989251083;6,939351569;4,16287233;3;7;4,242640687;-3;0;-2,943024289;0,289478145
3,007962843;6,958445851;4,03699581;3,006659276;7,00285656;4,103656906;-3;0,2;-2,956435477;0,41870892
2,960309045;6,94397091;3,970091168;3,02654919;7,011419257;3,969886648;-3;0,4;-2,936528845;0,356854113
2,920610596;6,95175723;3,694521784;3,059411708;7,025667228;3,841874542;-3;0,6;-1,526088072;0,458459431
3,103177533;6,925329595;3,628811259;3,104834939;7,045565982;3,720215048;-3;0,8;-2,879287489;1,01941062
3,062884941;7,073491556;3,552332123;3,16227766;7,071067812;3,605551275;-3;1;-1,563321893;0,68101357
3,169231643;7,022569159;3,490519924;3,231098884;7,102112362;3,498571137;-3;1,2;-2,933063633;1,170198794
3,190524804;7,055387608;3,380137235;3,310589071;7,138627319;3,4;-3;1,4;-2,932772859;1,274990646
3,268518166;7,131294654;3,236781875;3,4;7,180529228;3,310589071;-3;1,6;-2,948880257;1,475028088
3,535836937;7,234462749;3,181835476;3,498571137;7,2277244;3,231098884;-3;1,8;-2,982130093;1,897445917
3,572642211;7,217163046;3,270011051;3,605551275;7,280109889;3,16227766;-3;2;-2,994637529;1,87674709
3,660470466;7,186851535;3,025254524;3,720215048;7,337574531;3,104834939;-3;2,2;-2,860583821;2,221022642
3,769155548;7,270286019;3,023434173;3,841874542;7,4;3,059411708;-3;2,4;-2,901585116;2,351861168
3,989461063;7,391474099;2,911760352;3,969886648;7,467261881;3,02654919;-3;2,6;-2,877570739;2,736804898
4,016856261;7,505652955;2,9502369;4,103656906;7,53923073;3,006659276;-3;2,8;-2,969894435;2,741700798
4,09474421;7,593876654;2,97914238;4,242640687;7,615773106;3;-3;3;-3,021682727;2,823019637
4,24590304;7,655013594;2,994422939;4,38634244;7,696752562;3,006659276;-3;3,2;-3,019342815;3,019199593
4,230322629;7,44424803;6,798438608;4,252058325;7,515317691;6,802940541;-2,8;-3,2;-2,71210208;-3,241067849
3,987985883;7,28369094;6,621681492;4,103656906;7,43236167;6,621178143;-2,8;-3;-2,558274339;-3,078387184
3,915255959;7,33804118;6,345785687;3,959797975;7,353910524;6,440496875;-2,8;-2,8;-2,840749216;-2,685730707
